ダウンロードした時刻：2022/02/23 22:14:11

,中川,中川,中川,中川,中川,中川,中川,中川,中川,中川,中川,中川,中川,中川,中川,中川,中川,中川,旭川,旭川,旭川,旭川,旭川,旭川,旭川,旭川,旭川,旭川,旭川,旭川,旭川,旭川,旭川,旭川,旭川,旭川,旭川,旭川
1991/3/23,-0.2,8,1,0,8,1,9.9,8,1,,0,1,,0,1,,0,1,0.7,8,1,0.0,0,8,1,6.1,0,8,1,71,8,1,14.7,8,1,999.4,8,1
1991/3/24,1.7,8,1,1,8,1,10.6,8,1,,0,1,,0,1,,0,1,3.8,8,1,0.0,0,8,1,9.1,0,8,1,60,8,1,17.2,8,1,998.9,8,1
1991/3/25,0.2,8,1,0,8,1,9.4,8,1,,0,1,,0,1,,0,1,1.5,8,1,0,1,8,1,10.5,0,8,1,60,8,1,19.5,8,1,1003.9,8,1
1991/3/26,-1.6,8,1,2,8,1,5.0,8,1,,0,1,,0,1,,0,1,0.3,8,1,0.0,0,8,1,7.7,0,8,1,60,8,1,16.6,8,1,1005.8,8,1
1991/3/27,-4.2,8,1,0,8,1,4.4,8,1,,0,1,,0,1,,0,1,-2.9,8,1,0.5,0,8,1,0.6,0,8,1,74,8,1,10.5,8,1,1012.7,8,1
1991/3/28,-2.3,8,1,0,8,1,10.8,8,1,,0,1,,0,1,,0,1,-0.8,8,1,0.5,0,8,1,1.3,0,8,1,74,8,1,13.7,8,1,1009.5,8,1
1991/3/29,-1.8,8,1,0,8,1,6.6,8,1,,0,1,,0,1,,0,1,0.4,8,1,0.0,0,8,1,5.8,0,8,1,65,8,1,14.6,8,1,1013.3,8,1
1991/3/30,0.9,8,1,1,8,1,1.7,8,1,,0,1,,0,1,,0,1,0.9,8,1,1.5,0,8,1,0.1,0,8,1,80,8,1,7.0,8,1,1006.1,8,1
1991/3/31,0.9,8,1,8,8,1,2.3,8,1,,0,1,,0,1,,0,1,2.0,8,1,1.0,0,8,1,4.6,0,8,1,74,8,1,12.9,8,1,999.8,8,1
1991/4/1,-2.8,8,1,2,8,1,3.4,8,1,,0,1,,0,1,,0,1,0.4,8,1,1.5,0,8,1,4.8,0,8,1,75,8,1,14.7,8,1,1006.7,8,1
1991/4/2,2.3,8,1,2,8,1,7.3,8,1,,0,1,,0,1,,0,1,2.5,8,1,0.0,0,8,1,9.1,0,8,1,56,8,1,19.3,8,1,1010.1,8,1
1991/4/3,4.8,8,1,1,8,1,1.4,8,1,,0,1,,0,1,,0,1,4.6,8,1,0,1,8,1,10.0,0,8,1,54,8,1,20.6,8,1,1006.2,8,1
1991/4/4,4.6,8,1,0,8,1,0.0,8,1,,0,1,,0,1,,0,1,7.1,8,1,0.0,0,8,1,7.7,0,8,1,65,8,1,16.8,8,1,1003.9,8,1
1991/4/5,1.2,8,1,0,8,1,0.0,8,1,,0,1,,0,1,,0,1,6.3,8,1,0,1,8,1,7.7,0,8,1,74,8,1,17.5,8,1,1004.9,8,1
1991/4/6,1.0,8,1,4,8,1,1.2,8,1,,0,1,,0,1,,0,1,4.0,8,1,1.5,0,8,1,0.6,0,8,1,82,8,1,6.7,8,1,1002.8,8,1
1991/4/7,1.7,8,1,0,8,1,0.0,8,1,,0,1,,0,1,,0,1,3.9,8,1,0.0,0,8,1,0,1,8,1,80,8,1,9.6,8,1,1008.4,8,1
1992/3/15,1.1,8,1,1,8,1,1.3,8,1,,0,1,,0,1,,0,1,2.6,8,1,1.5,0,8,1,0.9,0,8,1,72,8,1,10.1,8,1,998.1,8,1
1992/3/16,-4.5,8,1,1,8,1,3.0,8,1,,0,1,,0,1,,0,1,-2.7,8,1,1.0,0,8,1,3.4,0,8,1,71,8,1,13.6,8,1,999.3,8,1
1992/3/17,-7.4,8,1,0,8,1,10.0,8,1,,0,1,,0,1,,0,1,-4.7,8,1,0,1,8,1,10.3,0,8,1,62,8,1,19.0,8,1,1012.3,8,1
1992/3/18,-6.9,8,1,0,8,1,8.8,8,1,,0,1,,0,1,,0,1,-4.6,8,1,0,1,8,1,6.0,0,8,1,62,8,1,15.4,8,1,1013.6,8,1
1992/3/19,-1.6,8,1,0,8,1,4.9,8,1,,0,1,,0,1,,0,1,-0.7,8,1,0,1,8,1,7.6,0,8,1,66,8,1,16.9,8,1,1006.2,8,1
1992/3/20,-1.8,8,1,4,8,1,0.1,8,1,,0,1,,0,1,,0,1,-2.5,8,1,4.0,0,8,1,1.9,0,8,1,78,8,1,12.1,8,1,1003.8,8,1
1992/3/21,-4.3,8,1,0,8,1,4.1,8,1,,0,1,,0,1,,0,1,-3.6,8,1,0.5,0,8,1,2.7,0,8,1,71,8,1,14.6,8,1,1004.4,8,1
1992/3/22,-6.7,8,1,3,8,1,3.5,8,1,,0,1,,0,1,,0,1,-4.2,8,1,3.5,0,8,1,4.6,0,8,1,80,8,1,15.6,8,1,1005.2,8,1
1992/3/23,-3.9,8,1,0,8,1,8.5,8,1,,0,1,,0,1,,0,1,-2.5,8,1,0.5,0,8,1,7.3,0,8,1,74,8,1,17.7,8,1,1011.3,8,1
1992/3/24,-1.7,8,1,0,8,1,8.3,8,1,,0,1,,0,1,,0,1,-1.8,8,1,0,1,8,1,9.9,0,8,1,65,8,1,18.2,8,1,1008.2,8,1
1992/3/25,-0.4,8,1,0,8,1,1.7,8,1,,0,1,,0,1,,0,1,-1.9,8,1,9.5,0,8,1,0,1,8,1,90,8,1,4.5,8,1,1001.5,8,1
1992/3/26,1.3,8,1,0,8,1,8.7,8,1,,0,1,,0,1,,0,1,2.6,8,1,0.5,0,8,1,4.3,0,8,1,77,8,1,13.9,8,1,1001.7,8,1
1992/3/27,1.8,8,1,0,8,1,5.1,8,1,,0,1,,0,1,,0,1,2.6,8,1,0.0,0,8,1,3.4,0,8,1,71,8,1,12.6,8,1,1006.2,8,1
1992/3/28,3.4,8,1,0,8,1,10.0,8,1,,0,1,,0,1,,0,1,2.7,8,1,0,1,8,1,10.6,0,8,1,72,8,1,19.6,8,1,1008.0,8,1
1992/3/29,1.0,8,1,0,8,1,9.5,8,1,,0,1,,0,1,,0,1,2.9,8,1,0,1,8,1,8.2,0,8,1,72,8,1,18.1,8,1,1007.3,8,1
1992/3/30,2.5,8,1,0,8,1,6.9,8,1,,0,1,,0,1,,0,1,3.5,8,1,0.0,0,8,1,0,1,8,1,76,8,1,6.7,8,1,1002.1,8,1
1992/3/31,3.8,8,1,0,8,1,10.3,8,1,,0,1,,0,1,,0,1,6.7,8,1,0,1,8,1,9.9,0,8,1,66,8,1,18.9,8,1,1002.0,8,1
1992/4/1,6.7,8,1,0,8,1,4.4,8,1,,0,1,,0,1,,0,1,5.9,8,1,0.0,0,8,1,5.6,0,8,1,67,8,1,14.5,8,1,999.7,8,1
1992/4/2,5.0,8,1,0,8,1,3.2,8,1,,0,1,,0,1,,0,1,7.4,8,1,0.0,0,8,1,5.2,0,8,1,75,8,1,15.0,8,1,994.2,8,1
1992/4/3,5.6,8,1,0,8,1,8.2,8,1,,0,1,,0,1,,0,1,7.1,8,1,0,1,8,1,7.5,0,8,1,71,8,1,16.6,8,1,1001.8,8,1
1992/4/4,6.7,8,1,0,8,1,9.0,8,1,,0,1,,0,1,,0,1,8.7,8,1,0,1,8,1,8.6,0,8,1,57,8,1,18.2,8,1,1003.4,8,1
1992/4/5,6.9,8,1,0,8,1,2.8,8,1,,0,1,,0,1,,0,1,9.2,8,1,0,1,8,1,6.6,0,8,1,66,8,1,17.0,8,1,998.8,8,1
1992/4/6,0.1,8,1,0,8,1,0.0,8,1,,0,1,,0,1,,0,1,2.6,8,1,0.5,0,8,1,0,1,8,1,74,8,1,4.8,8,1,1004.9,8,1
1992/4/7,-2.2,8,1,0,8,1,10.3,8,1,,0,1,,0,1,,0,1,0.0,8,1,0,1,8,1,11.7,0,8,1,53,8,1,22.2,8,1,1014.4,8,1
1993/3/15,-5.1,8,1,0,8,1,4.9,8,1,,0,1,,0,1,,0,1,-4.3,8,1,0.0,0,8,1,4.0,0,8,1,73,8,1,13.1,8,1,998.8,8,1
1993/3/16,-2.8,8,1,6,8,1,0.0,8,1,,0,1,,0,1,,0,1,-3.5,8,1,0.5,0,8,1,0.9,0,8,1,80,8,1,11.5,8,1,992.5,8,1
1993/3/17,-1.9,8,1,4,8,1,0.0,8,1,,0,1,,0,1,,0,1,-0.7,8,1,1.5,0,8,1,3.2,0,8,1,78,8,1,14.6,8,1,997.0,8,1
1993/3/18,-5.2,8,1,0,8,1,6.5,8,1,,0,1,,0,1,,0,1,-3.6,8,1,0,1,8,1,7.7,0,8,1,61,8,1,17.9,8,1,1003.9,8,1
1993/3/19,-7.7,8,1,0,8,1,6.6,8,1,,0,1,,0,1,,0,1,-3.1,8,1,0.0,0,8,1,8.3,0,8,1,63,8,1,18.5,8,1,1006.0,8,1
1993/3/20,-6.0,8,1,0,8,1,8.3,8,1,,0,1,,0,1,,0,1,-4.3,8,1,0.0,0,8,1,9.7,0,8,1,66,8,1,19.1,8,1,1007.4,8,1
1993/3/21,-0.6,8,1,1,8,1,5.1,8,1,,0,1,,0,1,,0,1,-0.3,8,1,0.0,0,8,1,9.1,0,8,1,64,8,1,18.4,8,1,1003.9,8,1
1993/3/22,2.2,8,1,0,8,1,5.2,8,1,,0,1,,0,1,,0,1,1.9,8,1,2.5,0,8,1,3.3,0,8,1,80,8,1,11.1,8,1,998.9,8,1
1993/3/23,2.0,8,1,0,8,1,10.4,8,1,,0,1,,0,1,,0,1,2.2,8,1,0.5,0,8,1,8.4,0,8,1,68,8,1,18.3,8,1,999.6,8,1
1993/3/24,4.5,8,1,2,8,1,1.1,8,1,,0,1,,0,1,,0,1,4.2,8,1,0.0,0,8,1,2.8,0,8,1,65,8,1,12.6,8,1,991.1,8,1
1993/3/25,1.7,8,1,0,8,1,9.8,8,1,,0,1,,0,1,,0,1,1.7,8,1,0.0,0,8,1,6.7,0,8,1,65,8,1,15.9,8,1,985.2,8,1
1993/3/26,-3.4,8,1,0,8,1,9.7,8,1,,0,1,,0,1,,0,1,0.5,8,1,0.5,0,8,1,7.7,0,8,1,62,8,1,17.8,8,1,993.5,8,1
1993/3/27,-4.2,8,1,0,8,1,5.3,8,1,,0,1,,0,1,,0,1,-1.2,8,1,0.0,0,8,1,4.6,0,8,1,64,8,1,14.1,8,1,998.1,8,1
1993/3/28,-7.8,8,1,0,8,1,8.7,8,1,,0,1,,0,1,,0,1,-5.2,8,1,0,1,8,1,10.1,0,8,1,58,8,1,20.3,8,1,1002.1,8,1
1993/3/29,-5.7,8,1,0,8,1,10.4,8,1,,0,1,,0,1,,0,1,-4.5,8,1,0.0,0,8,1,10.4,0,8,1,53,8,1,20.6,8,1,996.7,8,1
1993/3/30,0.0,8,1,2,8,1,7.8,8,1,,0,1,,0,1,,0,1,-0.2,8,1,3.0,0,8,1,6.9,0,8,1,68,8,1,16.7,8,1,999.0,8,1
1993/3/31,6.1,8,1,0,8,1,1.3,8,1,,0,1,,0,1,,0,1,5.7,8,1,0,1,8,1,3.3,0,8,1,65,8,1,13.3,8,1,997.7,8,1
1993/4/1,3.9,8,1,0,8,1,4.8,8,1,,0,1,,0,1,,0,1,5.3,8,1,0.0,0,8,1,2.3,0,8,1,66,8,1,10.3,8,1,993.4,8,1
1993/4/2,3.3,8,1,0,8,1,0.0,8,1,,0,1,,0,1,,0,1,5.1,8,1,3.5,0,8,1,0,1,8,1,84,8,1,5.7,8,1,992.9,8,1
1993/4/3,3.5,8,1,1,8,1,2.1,8,1,,0,1,,0,1,,0,1,6.1,8,1,1.5,0,8,1,6.9,0,8,1,72,8,1,18.5,8,1,996.8,8,1
1993/4/4,1.7,8,1,6,8,1,2.6,8,1,,0,1,,0,1,,0,1,4.3,8,1,0.5,0,8,1,9.2,0,8,1,60,8,1,20.2,8,1,995.8,8,1
1993/4/5,0.2,5,1,1,8,1,0.2,5,1,,0,1,,0,1,,0,1,1.9,8,1,1.0,0,8,1,1.3,0,8,1,71,8,1,11.2,8,1,995.7,8,1
1993/4/6,-0.4,8,1,1,8,1,2.2,8,1,,0,1,,0,1,,0,1,0.5,8,1,1.0,0,8,1,5.5,0,8,1,68,8,1,16.9,8,1,992.8,8,1
1993/4/7,0.8,8,1,0,8,1,2.2,8,1,,0,1,,0,1,,0,1,1.3,8,1,4.0,0,8,1,0.4,0,8,1,81,8,1,11.6,8,1,990.4,8,1
1994/3/15,-2.7,8,1,3,8,1,3.2,8,1,,0,1,,0,1,,0,1,-3.6,8,1,0.0,0,8,1,5.5,0,8,1,77,8,1,15.1,8,1,1002.0,8,1
1994/3/16,-0.8,8,1,1,8,1,0.8,8,1,,0,1,,0,1,,0,1,-0.5,8,1,0.0,0,8,1,2.9,0,8,1,62,8,1,13.4,8,1,1001.2,8,1
1994/3/17,-1.3,8,1,2,8,1,0.0,8,1,,0,1,,0,1,,0,1,-2.0,8,1,10.0,0,8,1,0,1,8,1,82,8,1,7.7,8,1,994.2,8,1
1994/3/18,-1.1,8,1,1,8,1,4.3,8,1,,0,1,,0,1,,0,1,-1.4,8,1,3.0,0,8,1,2.9,0,8,1,84,8,1,13.9,8,1,1002.1,8,1
1994/3/19,-1.4,8,1,0,8,1,5.5,8,1,,0,1,,0,1,,0,1,-2.5,8,1,2.0,0,8,1,7.0,0,8,1,76,8,1,15.6,8,1,1004.8,8,1
1994/3/20,-1.4,8,1,0,8,1,1.1,8,1,,0,1,,0,1,,0,1,-0.7,8,1,5.5,0,8,1,2.4,0,8,1,81,8,1,14.1,8,1,1002.7,8,1
1994/3/21,-4.6,8,1,1,8,1,4.7,8,1,,0,1,,0,1,,0,1,-3.4,8,1,0.0,0,8,1,7.1,0,8,1,73,8,1,16.8,8,1,1006.8,8,1
1994/3/22,-3.5,8,1,0,8,1,6.3,5,1,,0,1,,0,1,,0,1,-3.1,8,1,0.0,0,8,1,7.9,0,8,1,68,8,1,17.0,8,1,1014.9,8,1
1994/3/23,-2.7,8,1,0,8,1,5.5,8,1,,0,1,,0,1,,0,1,-2.2,8,1,0.0,0,8,1,2.9,0,8,1,72,8,1,13.3,8,1,1010.2,8,1
1994/3/24,-0.1,8,1,5,8,1,0.0,8,1,,0,1,,0,1,,0,1,0.8,8,1,14.0,0,8,1,0,1,8,1,93,8,1,4.0,8,1,986.0,8,1
1994/3/25,-3.0,8,1,4,8,1,0.0,8,1,,0,1,,0,1,,0,1,-0.6,8,1,1.5,0,8,1,1.2,0,8,1,76,8,1,14.1,8,1,984.0,8,1
1994/3/26,-6.5,8,1,0,8,1,1.0,8,1,,0,1,,0,1,,0,1,-3.5,8,1,0.0,0,8,1,2.8,0,8,1,67,8,1,13.3,8,1,1000.8,8,1
1994/3/27,-4.0,8,1,2,8,1,2.7,8,1,,0,1,,0,1,,0,1,-2.5,8,1,0.0,0,8,1,3.8,0,8,1,74,8,1,15.3,8,1,1002.7,8,1
1994/3/28,3.3,8,1,2,8,1,0.4,8,1,,0,1,,0,1,,0,1,3.6,8,1,0.0,0,8,1,4.3,0,8,1,67,8,1,13.0,8,1,991.9,8,1
1994/3/29,-1.8,8,1,0,8,1,5.2,8,1,,0,1,,0,1,,0,1,0.1,8,1,0.5,0,8,1,3.8,0,8,1,65,8,1,15.6,8,1,996.2,8,1
1994/3/30,-4.7,8,1,0,8,1,5.4,8,1,,0,1,,0,1,,0,1,-2.1,8,1,1.0,0,8,1,4.8,0,8,1,72,8,1,16.9,8,1,1002.1,8,1
1994/3/31,-1.3,8,1,0,8,1,7.1,8,1,,0,1,,0,1,,0,1,-1.5,8,1,4.0,0,8,1,0.8,0,8,1,83,8,1,8.9,8,1,998.7,8,1
1994/4/1,4.5,8,1,4,8,1,7.0,8,1,,0,1,,0,1,,0,1,3.7,8,1,0,1,8,1,11.4,0,8,1,58,8,1,21.4,8,1,997.2,8,1
1994/4/2,4.5,8,1,0,8,1,6.8,8,1,,0,1,,0,1,,0,1,6.4,8,1,0.0,0,8,1,7.4,0,8,1,61,8,1,16.6,8,1,983.9,8,1
1994/4/3,1.0,8,1,6,8,1,0.0,8,1,,0,1,,0,1,,0,1,2.1,8,1,4.5,0,8,1,0,1,8,1,87,8,1,4.3,8,1,987.5,8,1
1994/4/4,1.8,8,1,1,8,1,10.5,8,1,,0,1,,0,1,,0,1,2.9,8,1,0,1,8,1,9.2,0,8,1,66,8,1,20.4,8,1,1003.7,8,1
1994/4/5,4.8,8,1,0,8,1,6.1,8,1,,0,1,,0,1,,0,1,5.7,8,1,0.0,0,8,1,9.2,0,8,1,67,8,1,20.8,8,1,1000.0,8,1
1994/4/6,2.2,8,1,0,8,1,10.1,8,1,,0,1,,0,1,,0,1,3.9,8,1,0,1,8,1,9.5,0,8,1,60,8,1,21.6,8,1,1001.7,8,1
1994/4/7,0.6,8,1,6,8,1,0.0,8,1,,0,1,,0,1,,0,1,1.3,8,1,8.0,0,8,1,0,1,8,1,90,8,1,2.6,8,1,991.3,8,1
1995/3/15,0.4,8,1,0,8,1,3.8,8,1,,0,1,,0,1,,0,1,0.9,8,1,0,1,8,1,10.5,0,8,1,64,8,1,16.6,8,1,1014.1,8,1
1995/3/16,5.5,8,1,0,8,1,8.3,8,1,,0,1,,0,1,,0,1,3.4,8,1,0.0,0,8,1,7.7,0,8,1,62,8,1,15.7,8,1,1009.9,8,1
1995/3/17,3.8,8,1,15,8,1,0.0,8,1,,0,1,,0,1,,0,1,4.6,8,1,20.0,0,8,1,0.2,0,8,1,80,8,1,2.4,8,1,993.0,8,1
1995/3/18,-2.9,8,1,2,8,1,2.6,8,1,,0,1,,0,1,,0,1,-2.5,8,1,0.5,0,8,1,3.3,0,8,1,67,8,1,10.9,8,1,1003.6,8,1
1995/3/19,-1.7,8,1,19,8,1,0.8,8,1,,0,1,,0,1,,0,1,-0.8,8,1,0.5,0,8,1,4.2,0,8,1,69,8,1,14.3,8,1,1000.7,8,1
1995/3/20,2.0,8,1,5,8,1,4.4,8,1,,0,1,,0,1,,0,1,2.0,8,1,0.0,0,8,1,8.0,0,8,1,65,8,1,16.9,8,1,1002.3,8,1
1995/3/21,1.2,8,1,10,8,1,0.0,8,1,,0,1,,0,1,,0,1,3.0,8,1,9.0,0,8,1,0,1,8,1,83,8,1,4.4,8,1,998.7,8,1
1995/3/22,-2.6,8,1,2,8,1,1.4,8,1,,0,1,,0,1,,0,1,-1.2,8,1,3.0,0,8,1,4.6,0,8,1,77,8,1,15.0,8,1,1001.5,8,1
1995/3/23,-5.2,8,1,1,8,1,5.7,8,1,,0,1,,0,1,,0,1,-2.5,8,1,0.0,0,8,1,6.0,0,8,1,65,8,1,15.5,8,1,1008.3,8,1
1995/3/24,-5.5,8,1,0,8,1,6.2,8,1,,0,1,,0,1,,0,1,-2.0,8,1,0.0,0,8,1,7.9,0,8,1,63,8,1,17.6,8,1,1005.4,8,1
1995/3/25,-6.8,8,1,1,8,1,6.6,8,1,,0,1,,0,1,,0,1,-3.3,8,1,0.5,0,8,1,7.3,0,8,1,61,8,1,17.0,8,1,999.3,8,1
1995/3/26,-5.2,8,1,0,8,1,7.3,8,1,,0,1,,0,1,,0,1,-2.7,8,1,0,1,8,1,10.8,0,8,1,55,8,1,21.1,8,1,1000.0,8,1
1995/3/27,0.5,8,1,0,8,1,5.8,8,1,,0,1,,0,1,,0,1,0.3,8,1,0.0,0,8,1,5.7,0,8,1,58,8,1,15.8,8,1,997.8,8,1
1995/3/28,-0.3,8,1,1,8,1,6.3,8,1,,0,1,,0,1,,0,1,2.0,8,1,0.0,0,8,1,6.9,0,8,1,69,8,1,15.9,8,1,1002.2,8,1
1995/3/29,-0.3,8,1,0,8,1,11.0,8,1,,0,1,,0,1,,0,1,2.4,8,1,0,1,8,1,9.0,0,8,1,60,8,1,18.4,8,1,1007.7,8,1
1995/3/30,2.1,8,1,0,8,1,5.7,8,1,,0,1,,0,1,,0,1,4.7,8,1,0.5,0,8,1,4.8,0,8,1,64,8,1,14.3,8,1,1004.7,8,1
1995/3/31,1.2,8,1,23,8,1,0.0,8,1,,0,1,,0,1,,0,1,3.2,8,1,11.0,0,8,1,0,1,8,1,89,8,1,3.4,8,1,992.8,8,1
1995/4/1,1.4,8,1,0,8,1,2.0,8,1,,0,1,,0,1,,0,1,3.4,8,1,0.0,0,8,1,5.5,0,8,1,69,8,1,14.4,8,1,986.0,8,1
1995/4/2,-0.6,8,1,1,8,1,0.5,8,1,,0,1,,0,1,,0,1,1.3,8,1,1.0,0,8,1,2.7,0,8,1,64,8,1,12.3,8,1,990.8,8,1
1995/4/3,0.4,8,1,1,8,1,3.6,8,1,,0,1,,0,1,,0,1,2.0,8,1,1.0,0,8,1,4.2,0,8,1,66,8,1,13.8,8,1,994.3,8,1
1995/4/4,2.3,8,1,0,8,1,6.5,8,1,,0,1,,0,1,,0,1,3.2,8,1,3.5,0,8,1,7.9,0,8,1,63,8,1,15.6,8,1,996.6,8,1
1995/4/5,1.9,8,1,0,8,1,8.2,8,1,,0,1,,0,1,,0,1,4.5,8,1,0,1,8,1,9.1,0,8,1,52,8,1,19.9,8,1,1004.9,8,1
1995/4/6,6.5,8,1,0,8,1,6.4,8,1,,0,1,,0,1,,0,1,8.5,8,1,0.0,0,8,1,7.0,0,8,1,52,8,1,17.7,8,1,998.0,8,1
1995/4/7,5.0,8,1,8,8,1,1.9,8,1,,0,1,,0,1,,0,1,6.4,8,1,11.0,0,8,1,2.9,0,8,1,67,8,1,8.8,8,1,989.3,8,1
1996/3/15,2.3,8,1,1,8,1,1.2,8,1,,0,1,,0,1,,0,1,3.2,8,1,0.5,0,8,1,4.5,0,8,1,74,8,1,12.6,8,1,992.9,8,1
1996/3/16,-0.8,8,1,0,8,1,6.1,8,1,,0,1,,0,1,,0,1,1.3,8,1,0.0,0,8,1,5.7,0,8,1,59,8,1,13.1,8,1,996.7,8,1
1996/3/17,-1.3,8,1,1,8,1,0.7,8,1,,0,1,,0,1,,0,1,-0.3,8,1,3.0,0,8,1,0,1,8,1,75,8,1,7.6,8,1,989.4,8,1
1996/3/18,-1.0,8,1,5,8,1,0.0,8,1,,0,1,,0,1,,0,1,0.5,8,1,10.0,0,8,1,1.0,0,8,1,85,8,1,9.5,8,1,977.5,8,1
1996/3/19,-2.3,8,1,1,8,1,4.8,8,1,,0,1,,0,1,,0,1,-1.6,8,1,6.0,0,8,1,2.0,0,8,1,81,8,1,11.3,8,1,991.6,8,1
1996/3/20,-1.7,8,1,2,8,1,1.4,8,1,,0,1,,0,1,,0,1,-1.8,8,1,2.0,0,8,1,5.1,0,8,1,69,8,1,15.3,8,1,1005.1,8,1
1996/3/21,0.9,8,1,4,8,1,3.1,8,1,,0,1,,0,1,,0,1,0.8,8,1,2.5,0,8,1,6.0,0,8,1,64,8,1,16.5,8,1,1010.6,8,1
1996/3/22,-1.3,8,1,0,8,1,0.0,8,1,,0,1,,0,1,,0,1,-1.1,8,1,18.0,0,8,1,0,1,8,1,81,8,1,2.9,8,1,999.4,8,1
1996/3/23,-3.8,8,1,2,8,1,6.6,8,1,,0,1,,0,1,,0,1,-2.1,8,1,0.5,0,8,1,4.3,0,8,1,69,8,1,15.5,8,1,1001.5,8,1
1996/3/24,-1.7,8,1,0,8,1,2.7,8,1,,0,1,,0,1,,0,1,-1.4,8,1,0.5,0,8,1,4.3,0,8,1,62,8,1,15.1,8,1,1008.1,8,1
1996/3/25,0.9,8,1,6,8,1,0.0,8,1,,0,1,,0,1,,0,1,1.2,8,1,1.0,0,8,1,0.6,0,8,1,76,8,1,7.8,8,1,996.4,8,1
1996/3/26,-1.9,8,1,1,8,1,3.8,8,1,,0,1,,0,1,,0,1,-1.1,8,1,1.5,0,8,1,0.7,0,8,1,73,8,1,11.5,8,1,1000.1,8,1
1996/3/27,-2.2,8,1,0,8,1,4.8,8,1,,0,1,,0,1,,0,1,-0.9,8,1,0.5,0,8,1,5.9,0,8,1,58,8,1,18.0,8,1,1007.4,8,1
1996/3/28,-2.1,8,1,0,8,1,5.3,8,1,,0,1,,0,1,,0,1,0.6,8,1,0.5,0,8,1,5.7,0,8,1,61,8,1,15.8,8,1,1005.7,8,1
1996/3/29,-0.8,8,1,3,8,1,5.2,8,1,,0,1,,0,1,,0,1,2.3,8,1,0.0,0,8,1,9.0,0,8,1,53,8,1,19.1,8,1,1004.3,8,1
1996/3/30,3.9,8,1,2,8,1,0.3,8,1,,0,1,,0,1,,0,1,4.6,8,1,5.5,0,8,1,1.2,0,8,1,56,8,1,12.7,8,1,993.9,8,1
1996/3/31,1.9,8,1,15,8,1,0.0,8,1,,0,1,,0,1,,0,1,3.8,8,1,4.5,0,8,1,0,1,8,1,82,8,1,3.5,8,1,979.4,8,1
1996/4/1,0.6,8,1,3,8,1,1.3,8,1,,0,1,,0,1,,0,1,0.6,8,1,0.0,0,8,1,2.5,0,8,1,72,8,1,13.3,8,1,985.3,8,1
